"LocalCode","IcitWellsCode","Status","TotalTokens","RarityBand","CandidateClasses","Evidence"
"000","","ErodedUnknown","1881","ErodedUnknown","ErodedUnknown","ICIT documentation treats 000 as one eroded sign."
"430","430","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"435","435","ProvisionalIdentity","75","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"436","436","ProvisionalIdentity","17","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"440","440","ProvisionalIdentity","58","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"441","441","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"442","442","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"443","443","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"444","444","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"445","445","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"450","450","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"451","451","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"452","452","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"453","453","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"454","454","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"455","455","ProvisionalIdentity","46","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"456","456","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"457","457","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"458","458","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"460","460","ProvisionalIdentity","39","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"461","461","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"462","462","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"463","463","ProvisionalIdentity","28","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"465","465","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"466","466","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"467","467","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"468","468","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"469","469","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"470","470","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"471","471","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"472","472","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"473","473","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"474","474","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"475","475","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"479","479","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"480","480","ProvisionalIdentity","42","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"481","481","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"482","482","ProvisionalIdentity","41","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"483","483","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"484","484","ProvisionalIdentity","14","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"490","490","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"491","491","ProvisionalIdentity","18","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"492","492","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"493","493","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"494","494","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"495","495","ProvisionalIdentity","30","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"500","500","ProvisionalIdentity","24","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"501","501","ProvisionalIdentity","31","Active20To99","InitialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"502","502","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"503","503","ProvisionalIdentity","82","Active20To99","InitialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"504","504","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"505","505","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"506","506","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"510","510","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"511","511","ProvisionalIdentity","12","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"512","512","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"513","513","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"514","514","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"515","515","ProvisionalIdentity","18","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"516","516","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"517","517","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"518","518","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"519","519","ProvisionalIdentity","17","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"520","520","ProvisionalIdentity","321","Common100To499","TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"521","521","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"525","525","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"526","526","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"527","527","ProvisionalIdentity","63","Active20To99","TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"528","528","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"530","530","ProvisionalIdentity","19","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"531","531","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"532","532","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"533","533","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"534","534","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"535","535","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"540","540","ProvisionalIdentity","22","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"541","541","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"542","542","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"543","543","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"544","544","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"545","545","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"546","546","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"547","547","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"550","550","ProvisionalIdentity","124","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"551","551","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"552","552","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"554","554","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"555","555","ProvisionalIdentity","24","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"556","556","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"560","560","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"561","561","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"562","562","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"563","563","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"564","564","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"565","565","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"570","570","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"571","571","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"572","572","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"573","573","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"575","575","ProvisionalIdentity","81","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"576","576","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"577","577","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"578","578","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"579","579","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"585","585","ProvisionalIdentity","60","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"586","586","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"590","590","ProvisionalIdentity","228","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"591","591","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"592","592","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"593","593","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"595","595","ProvisionalIdentity","49","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"596","596","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"597","597","ProvisionalIdentity","9","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"599","599","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"600","600","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"601","601","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"602","602","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"603","603","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"604","604","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"605","605","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"606","606","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"610","610","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"611","611","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"615","615","ProvisionalIdentity","73","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"616","616","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"617","617","ProvisionalIdentity","77","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"620","620","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"621","621","ProvisionalIdentity","22","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"622","622","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"623","623","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"625","625","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"626","626","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"627","627","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"628","628","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"629","629","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"630","630","ProvisionalIdentity","40","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"631","631","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"632","632","ProvisionalIdentity","32","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"633","633","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"634","634","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"635","635","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"636","636","ProvisionalIdentity","22","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"637","637","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"638","638","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"639","639","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"640","640","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"641","641","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"642","642","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"643","643","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"645","645","ProvisionalIdentity","28","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"646","646","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"647","647","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"678","678","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"679","679","ProvisionalIdentity","19","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"680","680","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"681","681","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"682","682","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"683","683","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"684","684","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"685","685","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"686","686","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"687","687","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"688","688","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"689","689","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"690","690","ProvisionalIdentity","119","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"692","692","ProvisionalIdentity","77","Active20To99","InitialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"693","693","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"694","694","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
